date,amount,category,description,note
2026-03-01,80.00,entertainment,Cinema and dinner,Sunday
2026-03-02,120.00,entertainment,KTV night,
2026-03-03,95.00,entertainment,Board game cafe and drinks,
2026-03-04,35.00,food,Lunch,
2026-03-05,25.00,transport,MTR,
2026-03-06,30.00,food,Dinner,
2026-03-07,45.00,food,Weekend brunch,
2026-03-08,150.00,entertainment,Escape room and dinner,
2026-03-09,180.00,entertainment,Ocean Park,
2026-03-10,35.00,food,Lunch,
2026-03-11,22.00,transport,MTR,
2026-03-12,28.00,food,Canteen,
2026-03-13,40.00,food,Dinner,
2026-03-14,32.00,food,Lunch,
2026-03-15,200.00,entertainment,Concert ticket,
2026-03-16,90.00,entertainment,Shopping mall arcade,
2026-03-17,30.00,food,Lunch,
2026-03-18,25.00,transport,Bus,
2026-03-19,38.00,food,Dinner,
2026-03-20,42.00,food,Weekend lunch,
2026-03-21,35.00,food,Brunch,
2026-03-22,22.00,transport,MTR,
2026-03-23,160.00,entertainment,Karaoke and dinner,
2026-03-24,85.00,entertainment,Bowling and snacks,
2026-03-25,75.00,entertainment,Movie and drinks,
2026-03-26,30.00,food,Lunch,
2026-03-27,35.00,food,Dinner,
2026-03-28,22.00,transport,MTR,
2026-03-29,45.00,entertainment,Night market,
2026-03-30,28.00,food,Lunch,
2026-03-31,33.00,food,Dinner,
